                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0264,                0.58478,                 1.1814,                0.96561,                0.93028,                0.97314,                0.65578,                 1.1715,                0.56877,                 1.3518,              0.0011413,              0.0011413,              0.0011413
                     63,                0.99971,                0.57409,                 1.1653,                0.94192,                0.92242,                0.96225,                0.64843,                 1.1517,                0.52787,                 1.3391,              0.0011366,              0.0011366,              0.0011366
                     64,                  1.022,                0.58083,                 1.1703,                0.97598,                0.92444,                0.97187,                0.66526,                 1.1639,                0.53686,                 1.3498,              0.0011319,              0.0011319,              0.0011319
                     65,                 1.0275,                0.57139,                 1.1853,                0.94373,                0.92209,                0.96563,                0.65116,                  1.178,                0.52516,                 1.3558,              0.0011272,              0.0011272,              0.0011272
                     66,                 1.0148,                0.58127,                 1.1731,                0.95563,                0.91927,                0.96644,                0.65349,                 1.1478,                0.52274,                 1.3412,              0.0011225,              0.0011225,              0.0011225
                     67,                0.99966,                0.57286,                 1.1672,                0.97635,                0.91446,                0.97462,                 0.6528,                 1.1773,                0.52295,                 1.3717,              0.0011178,              0.0011178,              0.0011178
                     68,                 1.0327,                0.58553,                 1.1947,                0.95551,                0.92858,                0.97592,                0.64989,                 1.1651,                0.51852,                 1.3571,               0.001113,               0.001113,               0.001113
                     69,                 1.0161,                0.58091,                 1.1676,                0.96849,                 0.9125,                 0.9626,                0.64731,                 1.1824,                0.53647,                 1.3751,              0.0011083,              0.0011083,              0.0011083
                     70,                 1.0005,                0.56601,                 1.1683,                0.95401,                0.93693,                0.96245,                0.64479,                 1.2042,                0.54707,                 1.3853,              0.0011036,              0.0011036,              0.0011036
                     71,                0.98631,                0.55578,                 1.1746,                0.96039,                0.91731,                0.96907,                0.64201,                 1.2146,                0.53046,                 1.3977,              0.0010989,              0.0010989,              0.0010989
                     72,                 1.0003,                0.55729,                 1.1663,                0.97625,                0.90173,                0.97309,                0.65076,                 1.1916,                0.53097,                 1.3699,              0.0010942,              0.0010942,              0.0010942
                     73,                 1.0112,                0.57568,                 1.1676,                0.96183,                0.94195,                0.97066,                0.64222,                   1.19,                0.52309,                 1.3661,              0.0010895,              0.0010895,              0.0010895
                     74,                0.98237,                0.55127,                 1.1559,                0.97308,                0.92034,                0.97208,                0.63847,                 1.2471,                0.54078,                   1.43,              0.0010848,              0.0010848,              0.0010848
